NAME,Year,Industry,Category,NAICS Code,BEA Line Code,BEA Employment,NAICS Employment
"Humphreys County, Tennessee",2023,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,267.3928571428571,267.3928571428571
"Humphreys County, Tennessee",2047,Total employment (number of jobs),BEA and NAICS,NA,10,10510.535714285714,10510.535714285714
"Humphreys County, Tennessee",2026,Educational services,BEA and NAICS,61,1500,93.31364562118125,181.22129867676927
"Humphreys County, Tennessee",2041,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",701.4071864998546,701.4071864998546
"Humphreys County, Tennessee",2041,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,508.4642857142857,508.4642857142857
"Humphreys County, Tennessee",2045,Public Administration,NAICS,92,NA,0,961.2386123620333
"Humphreys County, Tennessee",2024,Finance and insurance,BEA and NAICS,52,1000,260.42857142857144,260.42857142857144
"Humphreys County, Tennessee",2039,Public Administration,NAICS,92,NA,0,932.0911343271127
"Humphreys County, Tennessee",2026,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,312.57142857142856,312.57142857142856
"Humphreys County, Tennessee",2050,Real estate and rental and leasing,BEA and NAICS,53,1100,176.0,176.0
"Humphreys County, Tennessee",2040,Other services (except government and government enterprises),BEA and NAICS,81,1900,826.5714285714286,826.5714285714286
"Humphreys County, Tennessee",2028,"Professional, scientific, and technical services",BEA and NAICS,54,1200,216.35714285714286,216.35714285714286
"Humphreys County, Tennessee",2036,Manufacturing,BEA and NAICS,31-33,500,1539.5,1539.5
"Humphreys County, Tennessee",2029,Utilities,BEA and NAICS,22,300,15.718940936863543,27.787031278131554
"Humphreys County, Tennessee",2026,Manufacturing,BEA and NAICS,31-33,500,1562.857142857143,1562.857142857143
"Humphreys County, Tennessee",2023,Utilities,BEA and NAICS,22,300,15.638638347395984,27.645077022166568
"Humphreys County, Tennessee",2029,Wholesale trade,BEA and NAICS,42,600,152.25967413441956,152.25967413441956
"Humphreys County, Tennessee",2041,Accommodation and food services,BEA and NAICS,72,1800,806.9285714285714,806.9285714285714
"Humphreys County, Tennessee",2050,Management of companies and enterprises,BEA and NAICS,55,1300,0.0,0.0
"Humphreys County, Tennessee",2029,Finance and insurance,BEA and NAICS,52,1000,304.5,304.5
"Humphreys County, Tennessee",2022WP,Utilities,BEA and NAICS,22,300,16.0,28.283871174009004
"Humphreys County, Tennessee",2049,Finance and insurance,BEA and NAICS,52,1000,426.7857142857143,426.7857142857143
"Humphreys County, Tennessee",2045,Retail trade,BEA and NAICS,44-45,700,971.75,971.75
"Humphreys County, Tennessee",2035,Utilities,BEA and NAICS,22,300,16.7992435263311,29.6967274824721
"Humphreys County, Tennessee",2045,Wholesale trade,BEA and NAICS,42,600,149.34754146057608,149.34754146057608
"Humphreys County, Tennessee",2022BL,Information,BEA and NAICS,51,900,42.0,42.0
"Humphreys County, Tennessee",2044,Public Administration,NAICS,92,NA,0,957.150828161319
"Humphreys County, Tennessee",2030,Accommodation and food services,BEA and NAICS,72,1800,760.2857142857143,760.2857142857143
"Humphreys County, Tennessee",2035,Retail trade,BEA and NAICS,44-45,700,973.25,973.25
"Humphreys County, Tennessee",2024,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,288.7857142857143,288.7857142857143
"Humphreys County, Tennessee",2037,Other services (except government and government enterprises),BEA and NAICS,81,1900,774.6428571428571,774.6428571428571
"Humphreys County, Tennessee",2036,"Professional, scientific, and technical services",BEA and NAICS,54,1200,214.5,214.5
"Humphreys County, Tennessee",2040,Manufacturing,BEA and NAICS,31-33,500,1529.357142857143,1529.357142857143
"Humphreys County, Tennessee",2035,Other services (except government and government enterprises),BEA and NAICS,81,1900,739.3571428571429,739.3571428571429
"Humphreys County, Tennessee",2049,Other services (except government and government enterprises),BEA and NAICS,81,1900,983.3571428571429,983.3571428571429
"Humphreys County, Tennessee",2041,Construction,BEA and NAICS,23,400,868.1071428571429,942.2226093352244
"Humphreys County, Tennessee",2030,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,76.14285714285714,76.14285714285714
"Humphreys County, Tennessee",2049,Utilities,BEA and NAICS,22,300,18.98661623508874,33.56343797647486
"Humphreys County, Tennessee",2022WP,Real estate and rental and leasing,BEA and NAICS,53,1100,178.0,178.0
"Humphreys County, Tennessee",2029,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,76.25,76.25
"Humphreys County, Tennessee",2046,Accommodation and food services,BEA and NAICS,72,1800,821.8571428571429,821.8571428571429
"Humphreys County, Tennessee",2044,Retail trade,BEA and NAICS,44-45,700,971.5,971.5
"Humphreys County, Tennessee",2039,Utilities,BEA and NAICS,22,300,17.852778585976143,31.55910560149099
"Humphreys County, Tennessee",2048,Educational services,BEA and NAICS,61,1500,153.85947046843177,298.8053126249325
"Humphreys County, Tennessee",2045,Real estate and rental and leasing,BEA and NAICS,53,1100,190.46428571428572,190.46428571428572
